year,entity,code,yield_tonnes_per_ha,climate_region,provenance
2020,Indonesia,IDN,0.47760004,Southeast Asia,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Indonesia,IDN,0.45790002,Southeast Asia,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Indonesia,IDN,0.45790002,Southeast Asia,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Indonesia,IDN,0.45370004,Southeast Asia,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Indonesia,IDN,0.45620003,Southeast Asia,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Nigeria,NGA,0.3678,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Nigeria,NGA,0.4393,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Nigeria,NGA,0.26520002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Nigeria,NGA,0.272,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Nigeria,NGA,0.2684,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Nigeria,NGA,0.31370002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2011,Nigeria,NGA,0.31500003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2012,Nigeria,NGA,0.30240002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2013,Nigeria,NGA,0.296,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2014,Nigeria,NGA,0.28820002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2015,Nigeria,NGA,0.2858,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2016,Nigeria,NGA,0.28410003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2017,Nigeria,NGA,0.28020003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2018,Nigeria,NGA,0.2842,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Nigeria,NGA,0.2823,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Nigeria,NGA,0.3009,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Nigeria,NGA,0.27800003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Nigeria,NGA,0.27290002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Nigeria,NGA,0.27240002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Nigeria,NGA,0.2691,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
