year,country,yield_mt_per_ha,source_owid,source_usda,divergence_flag,provenance
2021,Malaysia,17.7664,17.7664,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Thailand,17.5097,17.5097,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Colombia,16.3396,16.3396,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Nigeria,2.5683,2.5683,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Papua New Guinea,12.7512,12.7512,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Indonesia,17.0732,17.0732,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Malaysia,18.4921,18.4921,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Thailand,18.9373,18.9373,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Colombia,16.4715,16.4715,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Nigeria,2.5689,2.5689,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Papua New Guinea,12.6715,12.6715,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Indonesia,16.9372,16.9372,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Malaysia,18.5086,18.5086,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Thailand,18.3899,18.3899,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Colombia,16.5468,16.5468,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Nigeria,2.5673,2.5673,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Papua New Guinea,12.566,12.566,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Indonesia,16.9693,16.9693,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Malaysia,19.7697,19.7697,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Thailand,18.3329,18.3329,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Colombia,15.2952,15.2952,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Nigeria,2.5657,2.5657,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Papua New Guinea,12.4605,12.4605,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2025,Indonesia,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2025,Malaysia,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2025,Thailand,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2025,Colombia,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2025,Nigeria,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2025,Papua New Guinea,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2026,Indonesia,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2026,Malaysia,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2026,Thailand,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2026,Colombia,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2026,Nigeria,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
2026,Papua New Guinea,,,,,ESTIMATED BY CLAUDE — Claude not available (no ANTHROPIC_API_KEY)
